Country or Region,Total Cases,New Cases,Active Cases,Total Deaths,New Deaths
China,"80,282",131,"27,301","2,981",38
South Korea,"5,621",435,"5,545",35,3
Italy,"3,086",584,"2,703",107,28
Iran,"2,922",586,"2,278",92,15
Diamond Princess,706,,488,6,
Japan,319,26,270,6,
Germany,262,59,246,,
France,257,45,241,4,
Spain,210,45,207,1,
USA,137,13,119,9,
Singapore,110,,32,,
Hong Kong,103,2,64,2,
Switzerland,93,35,90,,
U.K.,85,34,77,,
Kuwait,56,,56,,
Norway,56,23,56,,
Bahrain,52,3,51,,
Australia,50,11,27,2,1
Malaysia,50,14,28,,
Thailand,43,,12,1,
Taiwan,42,,29,1,
Netherlands,38,15,38,,
Sweden,35,5,34,,
Canada,33,3,26,,
Iraq,32,,32,,
Austria,29,5,29,,
India,28,21,25,,
U.A.E.,27,,22,,
Belgium,23,8,22,,
Iceland,20,6,19,,
San Marino,16,6,15,1,
Vietnam,16,,0,,
Israel,15,3,14,,
Lebanon,13,,13,,
Oman,12,,10,,
Macao,10,,1,,
Denmark,10,,10,,
Ecuador,10,3,10,,
Croatia,9,,9,,
Greece,9,2,9,,
Algeria,8,,8,,
Czechia,8,3,8,,
Qatar,8,,8,,
Finland,7,,6,,
Belarus,6,2,6,,
Mexico,6,,5,,
Romania,6,2,4,,
Pakistan,5,,5,,
Portugal,5,1,5,,
Philippines,3,,0,1,
Azerbaijan,3,,3,,
Georgia,3,,3,,
Russia,3,,1,,
Brazil,2,,2,,
Egypt,2,,1,,
Estonia,2,,2,,
Indonesia,2,,2,,
Ireland,2,,2,,
New Zealand,2,,2,,
Senegal,2,,2,,
Afghanistan,1,,1,,
Andorra,1,,1,,
Armenia,1,,1,,
Cambodia,1,,0,,
Dominican Republic,1,,1,,
Jordan,1,,1,,
Latvia,1,,1,,
Lithuania,1,,1,,
Luxembourg,1,,1,,
North Macedonia,1,,1,,
Monaco,1,,1,,
Morocco,1,,1,,
Nepal,1,,0,,
Nigeria,1,,1,,
Saudi Arabia,1,,1,,
Sri Lanka,1,,0,,
Tunisia,1,,1,,
Ukraine,1,,1,,
Argentina,1,,1,,
Chile,1,,1,,
Faeroe Islands,1,1,1,,
Liechtenstein,1,,1,,
Poland,1,1,1,,
Total,"95,035","2,133","40,353","3,249",85
